iLI1	iLI2	iLI3	iLI4	iLI5	iLI6	iLI7	iLI8	iLI9	iLI10	iLI11	iLI12	iPH	stage
0.341	0.735	0.026	5.217	6.686	2.887	16.104	0	0	0	0	0	29.342	S6_S5
1.806	1.151	0.338	0.34	1.41	0.145	0.289	5.466	8.908	9.041	7.409	6.762	29.48	S6_S5
2.493	3.08	2.99	4.207	3.493	3.087	6.221	5.841	6.966	4.928	8.083	4.383	29.709	S6_S5
1.701	3.527	2.823	0.485	1.065	0.836	0.148	0.721	4.146	4.399	8.465	5.884	29.823	S6_S5
2.61	0.682	1.136	0.016	5.588	1.818	1.385	7.508	8.056	8.894	5.729	4.118	30.069	S6_S5
3.38	1.1	2.65	1.108	6.296	2.603	5.215	6.208	5.381	5.937	6.758	5.932	30.14	S6_S5
2.453	0.563	5.774	3.899	1.394	0.978	2.978	5.665	6.859	6.598	5.939	6.808	30.186	S6_S5
5.345	0.973	1.153	0.43	4.859	2.239	0.889	5.341	5.773	8.258	7.561	8.802	30.446	S6_S5
0.28	1.568	1.34	3.986	3.434	2.653	1.566	5.884	9.096	7.519	11.173	8.845	30.794	S6_S5
0.023	2.772	2.199	0.415	0.189	0.108	1.038	2.324	7.851	9.77	10.05	8.387	31.177	S6_S5
0.41	0.42	2.215	1.981	2.837	1.182	1.8	4.919	6.128	7.378	8.44	8.028	31.356	S6_S5
4.025	4.236	0.335	5.359	2.359	2.84	5.252	8.643	17.889	15.417	16.15	0	31.817	S6_S5
0.531	4.659	0.21	0.839	1.637	0.539	1.743	4.548	7.102	9.427	7.99	6.755	31.849	S6_S5
1.242	0.22	2.214	1.255	1.188	4.283	2.056	4.41	6.389	11.324	7.315	6.898	32.128	S6_S5
3.558	0.653	2.124	0.868	2.046	2.695	3.662	8.19	8.712	10.751	7.756	4.356	32.384	S6_S5
2.885	1.368	0.792	7.672	6.347	15.593	0	0	0	0	0	0	32.419	S6_S5
1.647	2.798	0.133	2.155	0.046	3.404	7.856	9.46	9.049	9.33	7.945	5.212	32.707	S6_S5
3.963	0.415	1.699	2.104	4.648	1.066	5.092	4.118	7.28	4.933	7.128	4.522	33.207	S6_S5
0.757	0.677	0.661	1.222	3.296	0.823	4.02	6.199	6.74	7.286	6.61	7.454	33.28	S6_S5
0.861	1.246	4.477	0.354	1.039	1.047	7.422	7.183	8.083	6.164	7.807	0	33.387	S6_S5
2.824	0.791	2.467	1.278	3.21	28.159	0	0	0	0	0	0	33.469	S6_S5
0.903	4.557	2.515	1.478	0.365	0.587	1.596	4.163	4.415	5.618	5.618	5.897	33.501	S6_S5
1.672	0.186	3.832	0.105	0.099	2.007	5.423	8.694	7.586	11.176	7.725	6.764	33.51	S6_S5
2.016	0.116	3.58	1.795	1.324	0.008	2.199	4.488	10.384	12.926	13.339	11.292	34.011	S6_S5
2.84	2.815	2.357	0.855	0.986	1.164	0.8	2.107	6.445	8.623	8.468	8.601	34.099	S6_S5
3.427	4.635	3.806	1.953	1.825	5.209	7.027	7.945	6.714	7.945	10.138	7.128	34.259	S6_S5
0.849	2.935	1.355	3.446	2.211	0.253	6.52	7.021	7.702	8.266	6.462	5.088	34.372	S6_S5
0.745	3.342	1.404	5.32	0.021	1.509	1.264	2.345	5.873	7.079	10.592	9.684	34.427	S6_S5
0.801	1.001	0.333	0.36	2.255	0.257	2.542	5.78	9.209	7.836	7.015	4.27	34.799	S6_S5
0.205	0.296	3.097	1.211	4.507	0.044	2.296	0.902	8.843	10.15	8.217	12.058	34.818	S6_S5
0.159	1.613	3.145	4.79	1.849	2.501	1.815	8.025	8.835	8.095	7.368	5.376	34.841	S6_S5
2.155	0.241	1.911	2.159	1.754	3.11	2.486	2.78	4.362	8.439	4.764	16.875	35.4	S6_S5
2.666	1.854	0.155	3.859	1.961	2.32	0.123	6.729	9.398	10.306	8.668	7.417	35.434	S6_S5
6.08	2.648	0.635	0.714	2.741	4.868	5.656	6.349	3.726	4.689	5.394	20.466	35.763	S6_S5
2.947	2.352	0.096	0.92	3.616	1.294	2.793	7.974	9.454	13.666	16.004	0	35.77	S6_S5
4.584	1.921	2.11	1.613	7.729	1.746	1.68	3.112	5.718	9.082	9.364	7.982	35.816	S6_S5
1.917	1.388	3.01	2.834	2.225	2.548	4.127	8.396	12.851	14.607	12.29	5.097	36.126	S6_S5
0.141	2.749	1.251	0.561	0.078	0.739	0.159	4.314	8.298	10.353	9.794	4.967	36.633	S6_S5
0.076	3.86	2.138	1.175	1.744	0.646	4.208	5.792	7.355	6.89	7.971	6.06	36.732	S6_S5
2.96	0.033	5.793	4.483	0.137	0.054	2.739	5.827	8.513	5.65	7.03	6.939	36.773	S6_S5
2.194	2.982	0.611	1.156	0.026	0.368	3.902	7.981	12.336	13.025	0	0	36.881	S6_S5
1.843	2.092	0.959	0.554	1.612	1.814	6.389	6.147	8.131	8.823	9.759	0	37.753	S6_S5
3.568	0.661	1.619	2.988	5.644	4.501	5.078	10.387	6.946	13.674	0	0	38.441	S6_S5
2.415	0.968	0.404	0.487	0.628	1.041	5.537	9.013	12.873	11.351	7.893	4.023	38.8	S6_S5
0.988	1.657	0.523	2.436	4.877	4.691	5.243	4.414	25.249	0	0	0	38.802	S6_S5
0.128	1.874	2.938	2.122	0.434	1.443	0.466	3.864	6.584	9.057	9.456	9.178	38.974	S6_S5
2.49	2.061	1.383	2.391	3.927	6.575	3.031	33.758	0	0	0	0	38.998	S6_S5
4.764	4.033	0.303	7.039	2.944	2.205	2.507	7.162	10.613	9.965	9.749	9.877	39.134	S6_S5
0.926	1.635	0.06	0.53	1.122	2.253	0.977	4.539	9.808	11.458	9.076	11.955	39.143	S6_S5
1.502	3.872	2.486	2.377	4.479	0.612	2.226	3.511	6.555	7.889	9.299	7.337	39.312	S6_S5
0.876	1.924	2.755	1.225	0.843	0.537	1.89	5.04	5.051	25.396	0	0	39.877	S6_S5
0.436	0.4	0.468	0.64	2.563	3.236	1.966	5.036	3.967	3.265	25.442	0	40	S6_S5
2.043	1.385	4.581	3.006	0.101	1.547	1.761	5.421	9.277	7.861	8.004	6.344	40.093	S6_S5
0.752	1.675	0.196	0.7	0.056	2.421	4.418	5.37	29.459	0	0	0	40.151	S6_S5
3.411	1.159	1.585	2.195	0.618	0.388	0.484	7.189	10.533	10.006	10.615	11.033	40.696	S6_S5
3.969	2.01	2.135	0.925	6.633	4.123	3.993	6.034	4.802	4.539	21.394	0	40.711	S6_S5
1.528	1.313	1.138	0.197	3.257	1.464	4.311	3.881	7.875	11.004	13.976	0	40.741	S6_S5
0.59	0.661	1.693	0.21	3.029	7.115	8.383	3.008	22.143	0	0	0	40.746	S6_S5
0.112	1.19	0.961	0.018	0.71	1.462	2.863	1.27	3.766	6.301	5.493	24.705	40.751	S6_S5
0.288	1.679	2.743	3.668	0.409	7.769	8.148	5.931	36.136	0	0	0	40.974	S6_S5
0.828	0.832	1.044	2.438	7.926	10.618	7.508	19.908	0	0	0	0	41.036	S6_S5
2.277	2.013	1.607	0.007	5.284	5.9	6.207	8.101	5.779	2.877	20.144	0	41.23	S6_S5
3.005	0.881	4.078	1.515	1.665	6.376	12.001	10.326	9.444	12.063	0	0	41.274	S6_S5
7.79	0.306	1.282	0.647	0.906	8.188	8.717	7.184	5.67	4.021	26.261	0	41.701	S6_S5
1.055	4.013	1.026	0.758	1.425	5.701	5.342	25.349	0	0	0	0	41.749	S6_S5
4.096	0.397	4.546	1.899	0.841	0.707	0.06	4.791	9.903	12.154	17.124	11.849	41.929	S6_S5
0.92	1.76	4.001	0.867	1.472	3.751	8.129	7.685	11.36	10.929	9.863	3.832	42.692	S6_S5
2.899	0.505	2.152	2.716	0.767	1.003	1.011	2.03	8.536	9.84	10.906	10.49	42.831	S6_S5
1.162	1.976	0.331	1.084	1.338	0.942	6.416	10.093	8.794	8.093	6.712	5.486	42.948	S6_S5
4.211	2.785	0.545	1.527	2.874	0.973	0.059	5.597	11.468	11.193	12.144	10.23	43.036	S6_S5
5.339	2.148	1.443	1.299	0.714	2.23	3.978	7.606	6.776	5.59	26.818	0	43.055	S6_S5
2.24	0.216	2.91	1.353	2.194	1.401	4.151	9.12	9.458	8.571	11.724	11.832	43.164	S6_S5
5.619	2.014	0.908	3.987	6.524	8.694	3.872	38.493	0	0	0	0	43.369	S6_S5
2.402	2.256	0.827	2.705	1.154	0.241	5.138	11.895	13.458	13.014	12.465	0	43.376	S6_S5
2.09	0.383	1.025	0.52	1.109	0.848	2.491	5.325	7.133	6.487	2.376	20.46	43.93	S6_S5
0.547	4.751	2.47	0.124	3.537	0.711	3.889	8.578	10.502	8.798	7.702	4.544	43.984	S6_S5
1.143	2.825	1.754	2.817	0.412	2.916	1.052	3.649	4.706	4.007	27.885	0	44.175	S6_S5
0.366	0.161	0.829	2.47	3.382	0.08	0.715	4.322	5.377	3.036	30.805	0	44.35	S6_S5
2.413	1.423	0.72	2.839	1.574	2.482	4.101	4.233	5.293	28.287	0	0	44.453	S6_S5
2.901	6.08	1.397	2.7	3.586	4.177	5.91	4.538	27.26	0	0	0	44.534	S6_S5
0.427	0.64	0.289	0.196	3.947	5.117	6.337	8.083	6.849	3.468	19.695	0	44.575	S6_S5
3.015	1.02	8.43	4.709	3.274	0.948	3.959	7.452	8.689	9.379	7.872	6.901	44.737	S6_S5
0.182	3.175	0.594	1.176	2.17	1.242	7.58	7.863	8.036	6.736	17.85	0	44.751	S6_S5
0.035	1.962	2.099	3.216	0.689	1.168	3.561	5.609	9.696	11.058	10.378	6.827	44.858	S6_S5
2.365	0.143	1.506	3.901	4.015	1.61	0.742	2.475	5.849	4.389	6.22	28.106	45.11	S6_S5
4.2	0.856	0.13	0.095	1.121	1.501	1.557	6.448	9.727	14.667	12.062	9.488	45.242	S6_S5
2.459	1.466	0.56	5.748	5.832	5.23	4.673	34.495	0	0	0	0	45.624	S6_S5
6.979	0.451	0.456	2.784	5.311	6.841	6.778	3.58	6.226	28.649	0	0	45.642	S6_S5
0.113	1.068	1.366	2.095	2.785	1.335	4.409	7.387	10.107	11.08	6.649	4.448	45.784	S6_S5
1.751	1.804	0.487	0.898	2.575	1.093	4.054	7.919	5.325	29.102	0	0	46.009	S6_S5
0.244	0.359	3.323	2.602	3.274	5.326	6.149	8.659	8.801	10.035	10.08	9.383	46.082	S6_S5
1.447	3.95	1.041	0.643	0.545	2.253	5.658	8.687	9.997	8.629	8.715	5.989	46.109	S6_S5
7.477	0.239	3.577	0.353	3.763	1.532	4.739	9.885	11.389	12.562	11.474	9.428	46.315	S6_S5
0.61	0.208	0.409	0.431	1.209	3.648	4.31	5.665	5.48	28.156	0	0	46.332	S6_S5
0.585	1.821	1.355	0.341	2.075	0.586	1.513	3.46	5.572	5.656	7.199	24.512	46.425	S6_S5
0.502	6.025	0.284	1.854	1.621	1.33	2.797	4.13	5.715	6.093	4.195	21.856	46.788	S6_S5
0.629	2.436	2.598	0.217	1.931	2.58	2.336	4.528	4.931	37.006	0	0	46.85	S6_S5
0.508	2.423	3.466	2.526	0.717	6.506	2.711	6.372	34.274	0	0	0	46.931	S6_S5
2.325	1.832	0.647	0.678	0.634	2.321	6.059	6.571	9.115	6.553	5.58	20.118	47.054	S6_S5
2.86	0.756	0.813	3.036	1.01	3.39	6.748	7.193	5.269	4.954	23.159	0	47.062	S6_S5
4.385	2.982	2.538	4.518	7	7.671	9.177	6.724	23.423	0	0	0	47.179	S6_S5
0.516	0.116	0.255	2.28	2.57	4.526	3.291	3.33	5.637	5.912	6.324	24.064	47.244	S6_S5
0.572	2.248	2.072	3.159	1.994	3.779	5.877	8.468	5.87	23.801	0	0	47.362	S6_S5
0.804	4.346	0.223	2.794	2.139	0.751	3.651	8.826	10.884	10.633	8.979	5.716	47.435	S6_S5
0.409	1.92	2.16	0.07	0.235	6.608	6.418	4.915	5.597	4.917	26.009	0	47.494	S6_S5
0.906	2.001	0.421	3.371	1.2	2.55	3.099	7.524	13.131	12.851	11.208	9.172	47.511	S6_S5
1.158	0.462	2.159	0.764	0.635	1.759	1.461	6.627	4.325	3.859	3.851	31.084	47.654	S6_S5
0.857	3.021	0.176	0.165	0.31	5.111	5.174	7.488	5.172	32.473	0	0	47.832	S6_S5
2.485	2.021	2.928	3.528	3.586	0.909	3.061	8.032	8.171	8.997	11.491	11.086	47.961	S6_S5
0.791	0.923	1.533	1.259	3.906	5.197	6.474	4.657	30.036	0	0	0	47.99	S6_S5
3.418	1.327	0.506	0.808	3.277	1.882	4.687	8.473	7.1	6.012	2.734	26.082	48.041	S6_S5
0.549	0.901	2.329	2.452	1.493	5.43	6.514	4.618	2.174	32.828	0	0	48.209	S6_S5
3.272	3.208	3.756	1.251	0.615	2.968	6.446	11.034	11.041	15.202	12.971	10.927	48.411	S6_S5
1.805	4.078	0.324	1.34	0.804	1.797	4.155	42.832	1.027	0	0	0	48.411	S6_S5
0.373	1.144	1.313	2.408	4.039	0.276	3.462	7.123	8.478	11.506	10.424	7.261	48.452	S6_S5
0.843	9.097	2.795	1.096	1.215	0.636	1.024	6.539	11.254	12.335	10.348	0	48.719	S6_S5
1.498	4.683	0.395	5.166	1.612	4.227	3.68	7.373	9.693	9.571	8.877	4.232	48.791	S6_S5
2.643	5.073	0.969	0.199	0.267	0.293	0.416	3.811	8.739	13.248	12.969	9.42	48.856	S6_S5
0.104	1.368	0.569	1.319	6.584	8.894	7.846	7.423	4.813	27.771	0	0	49.106	S6_S5
2.617	2.111	1.897	2.704	0.926	0.127	3.577	4.082	7.639	11.186	12.656	10.751	49.149	S6_S5
0.459	1.159	0.275	1.027	0.118	0.978	0.215	8.22	12.169	14.784	12.586	11.088	49.277	S6_S5
0.562	3.071	2.625	1.304	2.046	5.043	6.742	8.883	11.058	10.407	9.155	8.201	49.288	S6_S5
3.372	2.117	0.022	0.856	4.817	3.186	4.169	3.894	6.346	3.586	38.898	0	49.348	S6_S5
0.04	0.198	1.212	3.52	1.22	1.925	4.183	3.233	6.322	5.637	5.085	27.419	49.381	S6_S5
0.657	4.281	1.447	1.409	3.619	3.304	2.359	9.866	5.172	3.967	26.808	0	49.468	S6_S5
0.204	2.181	0.62	0.548	2.452	2.157	5.769	8.333	8.422	4.851	24.1	0	49.511	S6_S5
2.229	0.145	1.598	1.52	0.109	4.186	7.286	6.577	5.342	5.905	29.863	0	49.511	S6_S5
3.793	0.434	5.67	3.346	4.28	7.395	7.235	5.052	6.284	2.733	26.215	0	49.543	S6_S5
1.832	0.479	0.317	6.239	8.263	10.99	30.005	0	0	0	0	0	49.992	S6_S5
1.177	0.779	0.53	2.188	0.376	1.478	6.208	7.448	4.698	5.386	29.157	0	50.012	S6_S5
1.757	0.972	2.435	3.407	7.346	12.748	10.941	5.374	23.16	0	0	0	50.114	S6_S5
0.176	0.703	1.703	1.2	3.364	0.669	0.112	6.522	13.978	15.316	12.415	11.311	50.237	S6_S5
4.185	9.034	1.526	1.53	4.197	7.102	3.435	23.129	0	0	0	0	50.321	S6_S5
0.121	0.124	3.66	3.332	4.6	0.285	4.505	4.898	6.122	4.898	4.091	29.535	50.325	S6_S5
4.784	2.938	7.915	1.967	2.448	2.045	1.411	9.462	11.559	13.988	15.561	12.083	50.426	S6_S5
2.803	0.605	5.276	2.049	1.547	0.54	3.295	9.032	11.257	13.34	12.235	6.95	50.734	S6_S5
3.112	2.12	6.167	2.826	1.082	3.524	8.909	8.465	13.206	13.893	11.284	6.072	50.748	S6_S5
4.191	0.728	0.949	3.888	4.026	4.54	5.484	4.9	3.676	35.535	0	0	50.794	S6_S5
0.042	1.427	3.964	3.831	1.224	4.568	7.266	5.869	3.688	28.668	0	0	50.952	S6_S5
2.729	1.074	2.146	3.016	3.959	3.665	6.187	7.835	6.466	32.717	0	0	51.018	S6_S5
0.939	0.793	4.837	0.423	1.047	4.805	6.109	8.323	7.011	26.998	0	0	51.128	S6_S5
0.474	0.838	0.876	2.603	2.245	5.399	3.965	7.007	36.063	0	0	0	51.226	S6_S5
1.191	0.181	1.908	1.896	2.713	0.35	3.046	10.505	13.13	13.525	12.619	12.968	51.233	S6_S5
0.336	1.337	0.216	0.877	0.873	2.191	4.749	5.543	5.543	33.789	0	0	51.243	S6_S5
5.735	2.593	0.778	1.958	6.645	6.964	4.252	5.599	3.686	37.412	0	0	51.37	S6_S5
0.032	1.733	2.101	2.059	5.92	6.024	5.676	9.308	5.624	30.59	0	0	51.46	S6_S5
5.029	3.182	0.729	2.759	2.586	2.076	5.36	8.436	16.756	17.467	16.678	14.191	51.465	S6_S5
0.627	1.413	2.567	1.995	1.518	4.089	7.719	11.47	10.253	25.938	0	0	51.494	S6_S5
0.436	4.692	4.369	2.309	2.107	6.046	2.909	5.916	37.129	0	0	0	51.514	S6_S5
1.611	0.264	2.617	2.65	0.885	5.017	7.735	11.772	11.313	10.621	7.892	5.241	51.588	S6_S5
0.587	2.45	1.293	1.206	2.729	0.151	4.563	7.973	9.653	4.255	28.649	0	51.615	S6_S5
3.772	1.037	2.32	0.872	4.055	7.684	9.586	11.186	4.492	24.25	0	0	51.793	S6_S5
3.904	0.215	1.643	2.311	3.327	1.472	0.157	6.729	11.033	13.388	11.967	9.774	51.993	S6_S5
0.419	0.702	1.848	2.728	0.735	6.426	7.844	7.032	5.5	29.698	0	0	52.032	S6_S5
2.4	2.643	2.525	2.132	5.032	5.368	3.859	6.758	7.195	29.05	0	0	52.091	S6_S5
1.589	0.063	0.837	2.159	4.646	4.746	8.122	4.402	31.768	0	0	0	52.281	S6_S5
2.105	0.987	4.379	4.003	5.349	14.058	11.684	7.854	32.045	0	0	0	52.336	S6_S5
0.55	1.039	2.443	1.648	0.659	5.782	7.123	7.932	5.428	5.753	3.38	21.563	52.681	S6_S5
5.539	4.265	2.504	3.196	1.967	3.415	9.602	9.956	11.297	35.832	0	0	52.699	S6_S5
0.258	0.015	1.482	3.569	5.068	4.714	5.212	6.303	6.871	4.255	27.555	0	52.704	S6_S5
5.073	1.589	1.272	1.107	1.041	7.504	5.892	8.447	7.612	6.228	2.772	30.944	52.797	S6_S5
2.191	1.079	1.793	0.756	1.819	3.979	8.6	13.007	12.094	14.336	13.469	0	53.081	S6_S5
4.69	1.664	0.643	0.374	2.302	1.801	5.851	6.324	6.46	8.935	6.462	29.578	53.17	S6_S5
3.352	4.057	2.619	2.215	4.086	1.819	3.981	7.397	5.891	4.522	29.466	0	53.221	S6_S5
0.501	0.811	1.825	2.811	1.328	5.388	7.782	7.919	4.104	29.159	0	0	53.322	S6_S5
0.725	1.912	2.627	1.413	5.489	4.109	4.079	6.701	35.629	0	0	0	53.339	S6_S5
0.509	1.761	2.453	2.815	2.487	2.041	7.361	7.011	5.925	40.889	0	0	53.361	S6_S5
2.326	3.191	0.177	1.26	2.641	7.215	7.645	6.695	5.462	29.908	0	0	53.579	S6_S5
0.066	0.305	0.542	2.854	0.64	4.077	5.036	3.268	42.311	0	0	0	53.671	S6_S5
0.134	0.11	0.463	1.12	1.228	0.319	0.398	6.557	13.532	15.317	16.549	12.301	53.714	S6_S5
3.584	0.35	1.759	2.348	2.682	5.665	6.276	8.229	11.793	30.031	0	0	53.757	S6_S5
0.555	1.857	0.352	1.34	3.892	8.832	9.107	7.725	35.724	0	0	0	53.76	S6_S5
1.853	1.881	0.199	0.851	1.616	6.927	6.599	7.148	6.054	4.398	29.15	0	53.783	S6_S5
0.192	1.884	1.009	0.659	5.423	6.269	9.59	35.995	0	0	0	0	53.923	S6_S5
2.774	0.046	2.151	0.159	0.601	3.702	5.669	7.402	7.767	5.668	6.121	31.74	53.949	S6_S5
0.997	2.515	1.322	0.362	7.161	5.376	8.872	10.999	9.485	3.988	24.933	0	53.994	S6_S5
0.486	2.297	3.069	0.377	0.868	1.082	2.887	6.142	6.588	2.88	32.045	0	54.027	S6_S5
0.212	2.254	4.223	2.246	0.409	2.739	6.504	10.649	9.256	5.595	20.149	0	54.065	S6_S5
1.054	2.341	1.4	4.185	0.371	5.195	3.143	3.696	3.686	3.166	36.165	0	54.128	S6_S5
3.232	4.342	0.719	2.257	0.095	1.904	7.76	8.653	8.109	22.785	0	0	54.139	S6_S5
3.521	2.409	2.651	2.9	4.097	2.543	8.186	13.798	15.435	11.884	10.924	9.428	54.154	S6_S5
0.88	2.451	1.629	0.031	2.026	0.213	0.228	4.21	3.9	6.168	5.17	36.299	54.188	S6_S5
2.468	1.63	1.37	1.509	3.009	6.065	5.599	5.46	6.008	37.561	0	0	54.223	S6_S5
2.766	1.272	0.335	0.364	3.116	6.404	6.599	6.187	4.554	36.872	0	0	54.326	S6_S5
1.185	0.947	0.076	0.304	3.283	7.258	7.702	35.466	0	0	0	0	54.41	S6_S5
4.876	0.975	2.157	4.426	5.643	6.83	6.281	6.575	39.219	0	0	0	54.473	S6_S5
0.769	0.397	1.823	1.871	2.318	7.441	9.741	9.73	9.741	30.489	0	0	54.543	S6_S5
0.898	0.028	4.526	2.064	0.808	4.247	3.086	2.434	3.31	4.355	37.801	0	54.694	S6_S5
4.72	2.063	4.417	2.28	8.543	9.488	9.347	7.835	31.484	0	0	0	54.727	S6_S5
0.265	1.226	2.616	0.328	4.65	8.342	7.526	7.098	32.632	0	0	0	54.796	S6_S5
1.5	3.132	1.206	0.413	7.962	9.235	12.115	7.159	24.154	0	0	0	54.901	S6_S5
1.449	0.978	1.261	2.245	0.127	8.091	7.654	10.664	7.068	3.172	29.58	0	54.938	S6_S5
1.991	0.837	1.371	2.923	4.519	5.224	3.612	5.234	4.812	6.611	3.721	31.035	54.987	S6_S5
3.679	2.024	1.369	2.464	4.654	0.508	2.823	8.077	11.604	11.202	10.379	8.875	54.999	S6_S5
1.567	2.168	1.404	2.283	3.823	9.833	10.486	10.767	26.896	0	0	0	55.262	S6_S5
0.751	4.263	1.391	1.654	2.538	7.711	9.64	8.901	7.248	27.803	0	0	55.274	S6_S5
5.049	2.962	4.766	3.38	4.234	9.725	8.965	8	7.035	31.04	0	0	55.337	S6_S5
1.682	1.469	3.933	3.54	0.904	2.862	2.11	2.846	6.422	5.734	30.542	0	55.362	S6_S5
3.043	3.494	0.503	2.847	5.104	4.255	3.511	6.307	4.843	4.69	2.743	35.812	55.363	S6_S5
0.932	3.293	0.404	0.527	5.073	2.545	3.631	5.52	7.327	6.226	30.606	0	55.431	S6_S5
0.95	3.612	0.115	3.95	3.951	2.694	4.72	6.998	6.307	39.708	0	0	55.457	S6_S5
1.125	2.719	2.605	0.806	0.907	0.645	3.086	4.07	6.395	7.308	6.76	28.137	55.479	S6_S5
2.764	1.219	1.043	3.022	2.499	2.214	4.969	5.597	4.945	5.189	4.644	33.857	55.538	S6_S5
0.825	4.67	1.995	1.838	2.67	1.233	4.176	3.012	5.986	5.041	3.548	32.913	55.655	S6_S5
0.887	4.608	0.422	0.988	1.779	4.603	7.51	9.557	5.462	29.813	0	0	55.662	S6_S5
2.353	2.48	3.159	2.721	2.476	6.725	6.879	8.519	4.219	5.237	28.694	0	55.683	S6_S5
4.995	0.497	0.358	1.633	2.168	6.495	9.832	10.962	11.199	5.152	24.106	0	55.737	S6_S5
3.004	3.558	0.47	4.273	7.131	8.997	7.06	41.595	0	0	0	0	55.776	S6_S5
0.284	0.965	0.78	4.013	3.933	2.448	2.789	5.386	4.422	5.423	7.04	34.207	55.898	S6_S5
1.793	3.58	2.005	0.739	5.604	8.841	8.157	6.075	31.318	0	0	0	56.083	S6_S5
1.375	2.688	0.31	0.707	4.856	9.147	9.419	5.735	3.708	34.454	0	0	56.107	S6_S5
3.946	0.799	2.323	0.304	3.035	7.352	10.793	10.318	8.367	19.698	0	0	56.26	S6_S5
1.557	1.981	2.316	0.203	1.739	1.428	2.243	6.61	6.986	7.808	3.838	31.919	56.398	S6_S5
3.932	6.035	1.545	1.885	1.479	5.949	4.976	38.146	0	0	0	0	56.593	S6_S5
3.174	2.336	0.758	0.346	2.357	2.009	7.742	13.167	15.067	12.605	12.882	13.15	56.837	S6_S5
2.009	2.051	0.719	1.637	2.594	5.626	7.671	8.793	8.081	3.835	29.448	0	57.047	S6_S5
1.588	0.611	2.787	1.882	1.608	0.011	7.873	9.646	9.52	3.734	29.106	0	57.176	S6_S5
2.853	0.008	2.454	2.067	7.553	9.726	7.535	9.067	34.664	0	0	0	57.184	S6_S5
0.633	2.816	0.225	1.125	6.932	10.583	10.171	9.621	31.747	0	0	0	57.201	S6_S5
4.425	2.792	0.259	1.531	4.444	8.918	9.467	39.026	0	0	0	0	57.207	S6_S5
0.746	3.616	0.979	0.747	0.134	1.255	7.228	9.932	6.258	3.404	30.5	0	57.226	S6_S5
